Survived,Age,SibSp,Parch,Fare,Family_Size,Age*Class,Fare_Per_Person,Pclass_1,Pclass_2,Pclass_3,Sex_female,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U
1,20,0,0,7.2292,0,60,7.2292,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,21,0,0,8.05,0,63,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,18,2,0,18.0,2,54,6.0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,14,1,0,11.2417,1,42,5.62085,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,40,1,0,9.475,1,120,4.7375,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,27,1,0,21.0,1,54,10.5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,25,0,0,7.8958,0,75,7.8958,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,1,2,41.5792,3,6,10.3948,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,19,0,0,7.8792,0,57,7.8792,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,29,0,0,8.05,0,87,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,42,1,0,15.5,1,126,7.75,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,21,0,0,7.75,0,63,7.75,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,37,2,0,21.6792,2,111,7.226400000000001,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,18,1,0,17.8,1,54,8.9,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,7,4,1,39.6875,5,21,6.614583333333333,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,21,0,0,7.8,0,63,7.8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,49,1,0,76.7292,1,49,38.3646,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,29,1,0,26.0,1,58,13.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,65,0,1,61.9792,1,65,30.9896,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,26,0,0,35.5,0,26,35.5,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,21,0,0,10.5,0,42,10.5,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,28,0,0,7.2292,0,84,7.2292,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,5,1,2,27.75,3,10,6.9375,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,11,5,2,46.9,7,33,5.8625,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,22,0,0,7.2292,0,66,7.2292,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,45,1,0,83.475,1,45,41.7375,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,4,3,2,27.9,5,12,4.6499999999999995,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,19,0,0,27.7208,0,19,27.7208,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,18,1,1,15.2458,2,54,5.081933333333333,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,29,0,0,10.5,0,58,10.5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,19,0,0,8.1583,0,57,8.1583,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,17,4,2,7.925,6,51,1.1321428571428571,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,26,2,0,8.6625,2,78,2.8874999999999997,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,32,0,0,10.5,0,64,10.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,16,5,2,46.9,7,48,5.8625,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,21,0,0,73.5,0,42,73.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,26,1,0,14.4542,1,78,7.2271,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,32,0,0,56.4958,0,96,56.4958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,25,0,0,7.65,0,75,7.65,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,27,0,0,7.8958,0,81,7.8958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,40,0,0,8.05,0,120,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,2,29.0,2,0,9.666666666666666,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,30,0,0,12.475,0,90,12.475,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,22,0,0,9.0,0,66,9.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,29,0,0,9.5,0,87,9.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,16,0,0,7.7875,0,48,7.7875,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,28,0,0,47.1,0,28,47.1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,17,0,0,10.5,0,34,10.5,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,33,3,0,15.85,3,99,3.9625,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,16,1,3,34.375,4,48,6.875,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,15,0,0,8.05,0,45,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,23,3,2,263.0,5,23,43.833333333333336,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,24,0,0,8.05,0,72,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,29,0,0,8.05,0,87,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,20,0,0,7.8542,0,60,7.8542,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,46,1,0,61.175,1,46,30.5875,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,26,1,2,20.575,3,78,5.14375,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,59,0,0,7.25,0,177,7.25,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,32,0,0,8.05,0,96,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,71,0,0,34.6542,0,71,34.6542,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,23,0,1,63.3583,1,23,31.67915,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,34,0,1,23.0,1,68,11.5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,34,1,0,26.0,1,68,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,28,0,0,7.8958,0,84,7.8958,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,17,0,0,7.8958,0,51,7.8958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,21,0,1,77.2875,1,21,38.64375,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0,33,0,0,8.6542,0,99,8.6542,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,37,2,0,7.925,2,111,2.6416666666666666,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,28,0,0,7.8958,0,84,7.8958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,21,0,0,7.65,0,63,7.65,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,18,0,0,7.775,0,54,7.775,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,38,0,0,7.8958,0,114,7.8958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,38,1,0,24.15,1,114,12.075,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,47,0,0,52.0,0,47,52.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,14,1,0,14.4542,1,42,7.2271,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,22,0,0,8.05,0,66,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,20,1,0,9.825,1,60,4.9125,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,17,0,0,14.4583,0,51,14.4583,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,21,0,0,7.925,0,63,7.925,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,70,0,0,7.75,0,210,7.75,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,29,1,0,21.0,1,58,10.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,24,0,1,247.5208,1,24,123.7604,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,2,4,2,31.275,6,6,4.4678571428571425,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,21,2,0,73.5,2,42,24.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,26,0,0,8.05,0,78,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,32,1,0,30.0708,1,64,15.0354,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,32,0,0,13.0,0,64,13.0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0,54,0,1,77.2875,1,54,38.64375,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,12,1,0,11.2417,1,36,5.62085,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,30,0,0,7.75,0,90,7.75,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,24,0,0,7.1417,0,72,7.1417,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,43,1,1,22.3583,2,129,7.452766666666666,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,45,0,0,6.975,0,135,6.975,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,33,0,0,7.8958,0,99,7.8958,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,20,0,0,7.05,0,60,7.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,47,1,0,14.5,1,141,7.25,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,29,1,0,26.0,1,58,13.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,25,0,0,13.0,0,50,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,23,0,0,15.0458,0,46,15.0458,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,19,0,2,26.2833,2,19,8.7611,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,37,1,0,53.1,1,37,26.55,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,16,0,0,9.2167,0,48,9.2167,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,24,0,0,79.2,0,24,79.2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,43,0,2,15.2458,2,129,5.081933333333333,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,22,0,0,7.75,0,66,7.75,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,24,1,0,15.85,1,72,7.925,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,19,0,0,6.75,0,57,6.75,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,18,0,0,11.5,0,36,11.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,19,1,1,36.75,2,38,12.25,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,27,0,0,7.7958,0,81,7.7958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,9,2,2,34.375,4,27,6.875,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,36,0,2,26.0,2,72,8.666666666666666,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,42,0,0,13.0,0,84,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,51,0,0,12.525,0,102,12.525,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,22,1,0,66.6,1,22,33.3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,55,0,0,8.05,0,165,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,40,0,2,14.5,2,120,4.833333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,18,0,0,7.3125,0,54,7.3125,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,51,0,1,61.3792,1,51,30.6896,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,16,0,0,7.7333,0,48,7.7333,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,30,0,0,8.05,0,90,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,37,0,0,8.6625,0,111,8.6625,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,36,8,2,69.55,10,108,6.322727272727272,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,44,0,1,16.1,1,132,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,40,0,0,15.75,0,80,15.75,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,26,0,0,7.775,0,78,7.775,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,17,0,0,8.6625,0,51,8.6625,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,4,1,39.6875,5,3,6.614583333333333,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,9,0,2,20.525,2,27,6.841666666666666,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,35,0,1,55.0,1,35,27.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,45,1,4,27.9,5,135,4.6499999999999995,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,40,0,0,25.925,0,40,25.925,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,28,0,0,56.4958,0,84,56.4958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,61,0,0,33.5,0,61,33.5,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,4,4,1,29.125,5,12,4.854166666666667,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,11.1333,2,3,3.7111,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,21,0,0,7.925,0,63,7.925,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,56,0,0,30.6958,0,56,30.6958,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,18,1,1,7.8542,2,54,2.6180666666666665,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,28,3,1,25.4667,4,84,5.0933399999999995,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,50,0,0,28.7125,0,50,28.7125,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,30,0,0,13.0,0,60,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,36,0,0,0.0,0,108,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,43,8,2,69.55,10,129,6.322727272727272,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,29,0,0,15.05,0,58,15.05,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,9,4,2,31.3875,6,27,4.483928571428572,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,1,39.0,3,2,9.75,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,4,0,2,22.025,2,12,7.341666666666666,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,29,0,0,50.0,0,29,50.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1,15,1,0,15.5,1,45,7.75,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,45,0,0,26.55,0,45,26.55,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,40,1,1,15.5,2,120,5.166666666666667,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,36,0,0,7.8958,0,108,7.8958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,32,0,0,13.0,0,64,13.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,19,0,0,13.0,0,38,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,19,1,0,7.8542,1,57,3.9271,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,1,1,26.0,2,6,8.666666666666666,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,44,0,0,27.7208,0,44,27.7208,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,58,0,0,146.5208,0,58,146.5208,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,17,0,0,7.75,0,51,7.75,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,42,0,1,8.4042,1,126,4.2021,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,19,0,0,7.75,0,57,7.75,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,24,0,0,13.0,0,48,13.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,28,0,0,9.5,0,84,9.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,18,8,2,69.55,10,54,6.322727272727272,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,34,0,0,6.4958,0,102,6.4958,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,45,0,0,7.225,0,135,7.225,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,18,0,0,8.05,0,54,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,0,1,10.4625,1,6,5.23125,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0,32,1,0,15.85,1,96,7.925,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,26,0,0,18.7875,0,78,18.7875,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,16,0,0,7.75,0,48,7.75,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,40,0,0,31.0,0,40,31.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,24,0,0,7.05,0,72,7.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,35,0,0,21.0,0,70,21.0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,22,0,0,7.25,0,66,7.25,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,30,0,0,13.0,0,60,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,26,1,0,7.75,1,78,3.875,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,31,1,0,113.275,1,31,56.6375,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,27,0,0,7.925,0,81,7.925,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,42,1,0,27.0,1,84,13.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,32,0,0,76.2917,0,32,76.2917,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,30,0,0,10.5,0,60,10.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,16,0,0,8.05,0,48,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,27,0,0,13.0,0,54,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,51,0,0,8.05,0,153,8.05,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
