Survived,Pclass,Age,SibSp,Parch,Fare,Family_Size,Age*Class,Fare_Per_Person,Sex_female,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U
0,3,28.0,0,0,7.8958,0,84.0,7.8958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,8.05,0,84.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,0.83,0,2,29.0,2,1.66,9.666666666666666,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,30.0,0,0,12.475,0,90.0,12.475,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,22.0,0,0,9.0,0,66.0,9.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,29.0,0,0,9.5,0,87.0,9.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,28.0,0,0,7.7875,0,84.0,7.7875,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,28.0,0,0,47.1,0,28.0,47.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,17.0,0,0,10.5,0,34.0,10.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,33.0,3,0,15.85,3,99.0,3.9625,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3,16.0,1,3,34.375,4,48.0,6.875,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,8.05,0,84.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,23.0,3,2,263.0,5,23.0,43.833333333333336,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,3,24.0,0,0,8.05,0,72.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,29.0,0,0,8.05,0,87.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,20.0,0,0,7.8542,0,60.0,7.8542,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,46.0,1,0,61.175,1,46.0,30.5875,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,3,26.0,1,2,20.575,3,78.0,5.14375,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,59.0,0,0,7.25,0,177.0,7.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,8.05,0,84.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,71.0,0,0,34.6542,0,71.0,34.6542,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,23.0,0,1,63.3583,1,23.0,31.67915,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,2,34.0,0,1,23.0,1,68.0,11.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2,34.0,1,0,26.0,1,68.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,7.8958,0,84.0,7.8958,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,7.8958,0,84.0,7.8958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,21.0,0,1,77.2875,1,21.0,38.64375,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0,3,33.0,0,0,8.6542,0,99.0,8.6542,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,37.0,2,0,7.925,2,111.0,2.6416666666666666,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,7.8958,0,84.0,7.8958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,21.0,0,0,7.65,0,63.0,7.65,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,28.0,0,0,7.775,0,84.0,7.775,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,38.0,0,0,7.8958,0,114.0,7.8958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,28.0,1,0,24.15,1,84.0,12.075,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,47.0,0,0,52.0,0,47.0,52.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,3,14.5,1,0,14.4542,1,43.5,7.2271,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,22.0,0,0,8.05,0,66.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,20.0,1,0,9.825,1,60.0,4.9125,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,17.0,0,0,14.4583,0,51.0,14.4583,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,21.0,0,0,7.925,0,63.0,7.925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,70.5,0,0,7.75,0,211.5,7.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,29.0,1,0,21.0,1,58.0,10.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,24.0,0,1,247.5208,1,24.0,123.7604,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,3,2.0,4,2,31.275,6,6.0,4.4678571428571425,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,21.0,2,0,73.5,2,42.0,24.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,8.05,0,84.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,32.5,1,0,30.0708,1,65.0,15.0354,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,32.5,0,0,13.0,0,65.0,13.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,54.0,0,1,77.2875,1,54.0,38.64375,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,3,12.0,1,0,11.2417,1,36.0,5.62085,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,7.75,0,84.0,7.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,24.0,0,0,7.1417,0,72.0,7.1417,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,28.0,1,1,22.3583,2,84.0,7.452766666666666,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,3,45.0,0,0,6.975,0,135.0,6.975,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,33.0,0,0,7.8958,0,99.0,7.8958,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,20.0,0,0,7.05,0,60.0,7.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,47.0,1,0,14.5,1,141.0,7.25,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,2,29.0,1,0,26.0,1,58.0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2,25.0,0,0,13.0,0,50.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,23.0,0,0,15.0458,0,46.0,15.0458,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,19.0,0,2,26.2833,2,19.0,8.7611,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,37.0,1,0,53.1,1,37.0,26.55,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,3,16.0,0,0,9.2167,0,48.0,9.2167,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,24.0,0,0,79.2,0,24.0,79.2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,3,28.0,0,2,15.2458,2,84.0,5.081933333333333,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,3,22.0,0,0,7.75,0,66.0,7.75,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,24.0,1,0,15.85,1,72.0,7.925,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3,19.0,0,0,6.75,0,57.0,6.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,18.0,0,0,11.5,0,36.0,11.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,19.0,1,1,36.75,2,38.0,12.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,27.0,0,0,7.7958,0,81.0,7.7958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,9.0,2,2,34.375,4,27.0,6.875,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,36.5,0,2,26.0,2,73.0,8.666666666666666,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,42.0,0,0,13.0,0,84.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,51.0,0,0,12.525,0,102.0,12.525,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,22.0,1,0,66.6,1,22.0,33.3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,3,55.5,0,0,8.05,0,166.5,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,40.5,0,2,14.5,2,121.5,4.833333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,7.3125,0,84.0,7.3125,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,51.0,0,1,61.3792,1,51.0,30.6896,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,16.0,0,0,7.7333,0,48.0,7.7333,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,30.0,0,0,8.05,0,90.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,8.6625,0,84.0,8.6625,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,8,2,69.55,10,84.0,6.322727272727272,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,3,44.0,0,1,16.1,1,132.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,40.0,0,0,15.75,0,80.0,15.75,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3,26.0,0,0,7.775,0,78.0,7.775,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,17.0,0,0,8.6625,0,51.0,8.6625,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,1.0,4,1,39.6875,5,3.0,6.614583333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9.0,0,2,20.525,2,27.0,6.841666666666666,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,28.0,0,1,55.0,1,28.0,27.5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,3,45.0,1,4,27.9,5,135.0,4.6499999999999995,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,28.0,0,0,25.925,0,28.0,25.925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,56.4958,0,84.0,56.4958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,61.0,0,0,33.5,0,61.0,33.5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,3,4.0,4,1,29.125,5,12.0,4.854166666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,1.0,1,1,11.1333,2,3.0,3.7111,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,21.0,0,0,7.925,0,63.0,7.925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,56.0,0,0,30.6958,0,56.0,30.6958,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,3,18.0,1,1,7.8542,2,54.0,2.6180666666666665,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,3,1,25.4667,4,84.0,5.0933399999999995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,50.0,0,0,28.7125,0,50.0,28.7125,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,2,30.0,0,0,13.0,0,60.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,36.0,0,0,0.0,0,108.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,8,2,69.55,10,84.0,6.322727272727272,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,28.0,0,0,15.05,0,56.0,15.05,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,9.0,4,2,31.3875,6,27.0,4.483928571428572,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,2,1.0,2,1,39.0,3,2.0,9.75,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,3,4.0,0,2,22.025,2,12.0,7.341666666666666,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,28.0,0,0,50.0,0,28.0,50.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1,3,28.0,1,0,15.5,1,84.0,7.75,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,45.0,0,0,26.55,0,45.0,26.55,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,40.0,1,1,15.5,2,120.0,5.166666666666667,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,36.0,0,0,7.8958,0,108.0,7.8958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,32.0,0,0,13.0,0,64.0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2,19.0,0,0,13.0,0,38.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,19.0,1,0,7.8542,1,57.0,3.9271,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2,3.0,1,1,26.0,2,6.0,8.666666666666666,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,44.0,0,0,27.7208,0,44.0,27.7208,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,58.0,0,0,146.5208,0,58.0,146.5208,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,3,28.0,0,0,7.75,0,84.0,7.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,42.0,0,1,8.4042,1,126.0,4.2021,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,28.0,0,0,7.75,0,84.0,7.75,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,24.0,0,0,13.0,0,48.0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,9.5,0,84.0,9.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,8,2,69.55,10,84.0,6.322727272727272,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,34.0,0,0,6.4958,0,102.0,6.4958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,45.5,0,0,7.225,0,136.5,7.225,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,18.0,0,0,8.05,0,54.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,2.0,0,1,10.4625,1,6.0,5.23125,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0,3,32.0,1,0,15.85,1,96.0,7.925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,26.0,0,0,18.7875,0,78.0,18.7875,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,16.0,0,0,7.75,0,48.0,7.75,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,40.0,0,0,31.0,0,40.0,31.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,3,24.0,0,0,7.05,0,72.0,7.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,35.0,0,0,21.0,0,70.0,21.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,22.0,0,0,7.25,0,66.0,7.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,30.0,0,0,13.0,0,60.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,1,0,7.75,1,84.0,3.875,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,31.0,1,0,113.275,1,31.0,56.6375,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,3,27.0,0,0,7.925,0,81.0,7.925,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,42.0,1,0,27.0,1,84.0,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,32.0,0,0,76.2917,0,32.0,76.2917,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,2,30.0,0,0,10.5,0,60.0,10.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,16.0,0,0,8.05,0,48.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,27.0,0,0,13.0,0,54.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,51.0,0,0,8.05,0,153.0,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,28.0,0,0,7.8958,0,84.0,7.8958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
